resolution,Well_ID,grid_cell,n_wells_in_cell,rank,mc_kge,mc_r2,mc_rmse,mc_mae,mc_nse,mc_r,idw_kge,idw_r2,idw_rmse,idw_mae
0.5,415703112514501,59,14,10,0.08170994293823208,-1135.048764390495,168.61397264317492,168.51045515026433,-1135.048764390495,0.11598759076366084,0.06829780359250037,-1135.0763828997647,168.61602221992263,168.51045577992969
0.5,414236112101201,52,14,10,0.26247470668927664,-697.5050648864241,35.83675389415085,35.81953991899088,-697.5050648864241,0.6399187539735878,0.30622905474386297,-697.4860648434109,35.83626649289206,35.819538050544324
0.5,411348112013601,45,35,10,0.1299201915488991,-2178.7434649032243,235.4749765601949,235.43302247879262,-2178.7434649032243,0.6116094812115591,0.14087660664530466,-2178.7335063214446,235.47443865297618,235.43302152599458
0.5,411544111461001,53,23,10,-0.06730070550934242,-11231.870131555475,395.88272562456206,395.86597195265455,-11231.870131555475,0.22615334015506794,-0.066751917034098,-11231.875065800272,395.88281257393663,395.86596928751493
0.5,401818112014501,37,118,10,-1.498310662486002,-952064.4473331218,292.4718521999786,292.46992225186824,-952064.4473331218,-0.24330959836270385,-1.841649090107051,-952067.3973162182,292.4723053129207,292.4699207225316
0.5,402333111513401,37,118,10,0.07398886748043687,-69.38421207397836,57.16980107847503,56.82843321008525,-69.38421207397836,0.6741528970060671,0.07663597528227595,-69.37693724080616,57.16684649888685,56.82843158650715
0.5,401312112442301,27,3,10,0.10197320707397595,-171608.5076147493,431.6072186287495,431.60525220358727,-171608.5076147493,0.11535267216422515,0.0642461643968566,-171608.6661750453,431.60741802257525,431.60525248255163
0.5,403916111575901,37,118,10,0.04207525811394652,-4719.129607340114,74.04097390414167,74.02774957705395,-4719.129607340114,0.0498271244117381,0.0876902456489117,-4719.232289987245,74.04177925086748,74.02775112338355
0.5,414411112543701,51,6,10,0.5214531278900105,-367.7119393558085,10.544400848796363,10.536489326966423,-367.7119393558085,0.6686618459191638,0.5176194237485008,-367.7789058254743,10.545358356765604,10.536490516396762
0.5,413805111492201,53,23,10,0.1774816431228069,-7429.087341309179,237.11214232062298,237.09970276622647,-7429.087341309179,0.4862789172670152,0.21266690562384438,-7429.052044499082,237.11157911646305,237.0997003382178
0.5,404007111585801,37,118,10,0.11213358372473992,-7215.076248201582,74.58090373007335,74.57100796084208,-7215.076248201582,0.11584332793139027,0.09954359543625857,-7215.313710690155,74.58213085272935,74.57100951096096
0.5,403524111512901,37,118,10,0.10462310703075173,-3495.9988161236874,90.2896141203808,90.2747847080519,-3495.9988161236874,0.18976146100116847,0.14053133045897448,-3496.053258563304,90.29031694700322,90.27478316504977
0.5,403627111495701,37,118,10,-0.3457013164648146,-773.0645043586499,91.09684943625226,91.02808418160083,-773.0645043586499,-0.14356416056192586,-0.3475250799303,-773.1088614083357,91.09945950916426,91.02808259564965
0.5,403628111514301,37,118,10,0.18604393103184869,-234.8619820028028,37.144911706494575,37.08256984636481,-234.8619820028028,0.4632328943000217,0.1949202768831959,-234.88773825738855,37.146939773242266,37.08257139930889
0.5,393814113522601,17,12,10,0.3570125322480435,-10690.837942422459,98.08404698107704,98.0794492202668,-10690.837942422459,0.39298623383576253,0.35064563672613835,-10690.868876259203,98.08418887032556,98.07944869837668
0.5,403524111572201,37,118,10,0.20859696300340114,-1638.7941038684435,85.61604006647647,85.59490177537558,-1638.7941038684435,0.4364070332340202,0.26533821645015276,-1638.7685258422102,85.61537233085852,85.5949033191765
0.5,415008111593901,61,15,10,-0.42376610524357683,-3724.6117456662914,99.0337248524871,99.00451790194265,-3724.6117456662914,-0.40365152312897745,-0.3980862213825489,-3724.6570569829505,99.03432708040687,99.00451823467844
0.5,414209111574001,53,23,10,0.32085758133266706,-12619.014819404032,114.18750333746253,114.18122196806219,-12619.014819404032,0.3217438762660334,0.3303058907820402,-12619.038386562303,114.18760995673937,114.18122485515694
0.5,414642111511401,61,15,10,-0.6718082731724038,-2914.544981175197,48.97704709668772,48.93856790593937,-2914.544981175197,-0.631941923055205,-0.6815302849180931,-2914.7766138832712,48.97899260958634,48.938568255418495
0.5,415926111571302,61,15,10,-0.1317344717979243,-942.9841410404513,23.34725590046373,23.305255470449804,-942.9841410404513,0.02157505715376474,-0.1176053668170347,-943.0048190834528,23.34751161075414,23.305255327187897
0.5,414721111590001,61,15,10,-0.33655488290308666,-1840.206823420617,60.449006188039135,60.410682315485445,-1840.206823420617,-0.3302424331752328,-0.32457859835916136,-1840.2823853145233,60.45024656866122,60.41068287345292
0.5,415926111571301,61,15,10,0.08454734604689884,-728.3993483046738,21.408468946970036,21.37110343922967,-728.3993483046738,0.22623963549392342,0.08895628432690073,-728.410634985758,21.408634583001472,21.371103263329076
0.5,415638111493601,61,15,10,-0.6536530863447121,-126.01652791741189,19.044270352669578,18.854307674213377,-126.01652791741189,-0.6349872683602328,-0.6399815207104,-126.08809695895305,19.049634962517512,18.854308222456208
0.5,403627111495702,37,118,10,-0.32378714758254157,-728.4371237543334,93.62064445710112,93.5478287040524,-728.4371237543334,-0.10714145985404898,-0.34555086512957267,-728.4901713068693,93.6240486269766,93.54782713328488
0.5,415506112030201,60,9,10,0.2898167747385554,-30672.228695894628,408.77334986211326,408.76822010167405,-30672.228695894628,0.48145959207657224,0.2868164828008255,-30672.265850582327,408.7735974369888,408.7682207050018
0.5,413840111552601,53,23,10,-0.7842173562919699,-953.9890451109986,55.792641416743,55.725444814913274,-953.9890451109986,-0.7427242871678005,-0.742566244973353,-953.986042034896,55.79255369339124,55.72544754006612
