Well_ID,pct_missing,rep,n_held,rank,n,kge,r2,rmse,mae,nse,r
415703112514501,50,13,144,3,144,-0.3295990313416586,-0.0010282018423048989,5.190673070654895,4.359653648380054,-0.0010282018423048989,0.03620445097023061
415703112514501,50,14,144,3,144,-0.3726450794998173,-0.02244819536255127,5.088917948254442,4.315052205935533,-0.02244819536255127,-0.04514669348886375
415703112514501,50,15,144,3,144,-0.3763677558282781,-0.04164357644414274,5.2269203796931984,4.489845024960977,-0.04164357644414274,-0.03957469543894378
415703112514501,50,16,144,3,144,-0.3644233907138261,-0.01183118966788288,4.958472016905297,4.188868393670576,-0.01183118966788288,-0.017883743680628082
415703112514501,50,17,144,3,144,-0.34211723969708907,-0.00325248899121644,4.980522310511351,4.126260403069176,-0.00325248899121644,0.02440509653347534
415703112514501,50,18,144,3,144,-0.33788123505522805,-0.010669773116768644,4.817855264695151,4.020430604549347,-0.010669773116768644,0.01091076885720326
415703112514501,50,19,144,3,144,-0.2860788271739181,0.007019013923791895,4.801892319887545,4.109086922371982,0.007019013923791895,0.08907201724837602
414236112101201,10,0,28,3,28,0.4109723818307407,0.39766364318928915,1.0970246413777096,0.899595240665836,0.39766364318928915,0.6913622159628039
414236112101201,10,1,28,3,28,0.4146870917926102,0.40853056550726385,1.091011575856251,0.8153983203392272,0.40853056550726385,0.6859274576788486
414236112101201,10,2,28,3,28,0.3394310812281056,0.39235698223323334,1.1777393809759444,0.9966921960050124,0.39235698223323334,0.6848108832200299
414236112101201,10,3,28,3,28,0.4519806697880937,0.4590915091705934,0.9697854852599102,0.7463262521399818,0.4590915091705934,0.6935508976833945
414236112101201,10,4,28,3,28,0.4262055543503437,0.41667475420513356,1.105984846754111,0.8900245635687237,0.41667475420513356,0.661347355240221
414236112101201,10,5,28,3,28,0.43328199609406104,0.3912225771839065,0.994015653304373,0.7818568923541014,0.3912225771839065,0.629009014564971
414236112101201,10,6,28,3,28,0.5228949348521394,0.19747788913140352,0.8079674040548493,0.6766613788425795,0.19747788913140352,0.6204533069205033
414236112101201,10,7,28,3,28,0.41323180969951645,0.47239647571905974,1.127886691997518,0.8996154120721778,0.47239647571905974,0.7366427725386859
414236112101201,10,8,28,3,28,0.3715961501386369,0.19481727877927235,0.9458679228893273,0.6874160657292967,0.19481727877927235,0.4801779109938708
414236112101201,10,9,28,3,28,0.44660447311886287,0.3615906331633052,0.9612238295411235,0.7221441952859939,0.3615906331633052,0.6349591029642278
414236112101201,10,10,28,3,28,0.4780815468340712,0.44885183339878865,0.9001240723188935,0.6969328261112163,0.44885183339878865,0.6813872543472819
414236112101201,10,11,28,3,28,0.30579878306065966,0.11431917174913186,1.0884154499518095,0.8052830796512548,0.11431917174913186,0.4085242286597871
414236112101201,10,12,28,3,28,0.3092244197859817,0.2981684397905425,1.0931401207560583,0.8637969428867953,0.2981684397905425,0.5515246395723665
414236112101201,10,13,28,3,28,0.4398857837560387,0.021468437488077696,1.0336555962398952,0.8439150568765724,0.021468437488077696,0.5080946139860032
414236112101201,10,14,28,3,28,0.3481279031887934,0.3743182569331246,1.180393517186694,0.9323366949301024,0.3743182569331246,0.6385298488781618
414236112101201,10,15,28,3,28,0.3473245588106437,0.25622233352682156,1.3012365758167905,1.037803846546532,0.25622233352682156,0.5893312436356481
414236112101201,10,16,28,3,28,0.34449563518868,0.1887350445093401,1.0981980761368517,0.8203585668020423,0.1887350445093401,0.48416458792453954
414236112101201,10,17,28,3,28,0.42381061711062473,0.39666098562109076,1.061810103180685,0.8719889380453034,0.39666098562109076,0.634970068662017
414236112101201,10,18,28,3,28,0.36579549403328493,0.3843309151217791,1.1516504643479764,0.8765926283607054,0.3843309151217791,0.6504496004299216
414236112101201,10,19,28,3,28,0.4323386640187845,0.3952415981657943,1.0175061536284016,0.8203411377095823,0.3952415981657943,0.6704467761870648
414236112101201,20,0,57,3,57,0.4190386600241013,0.2768902870091491,1.0255052414262391,0.821912588505368,0.2768902870091491,0.6010329432687097
414236112101201,20,1,57,3,57,0.3056549783194634,0.29927071414645867,1.1221414207968732,0.8895515598331322,0.29927071414645867,0.555541465561883
414236112101201,20,2,57,3,57,0.3319949591203696,0.35046188675994583,1.1431859664443316,0.9196550124755671,0.35046188675994583,0.6171235779584139
414236112101201,20,3,57,3,57,0.35674614093947365,0.3957897573896124,1.097047785162093,0.8980381562768774,0.3957897573896124,0.6709830687687922
414236112101201,20,4,57,3,57,0.330419898511807,0.3492993844402009,1.1546329847831123,0.9617792653571885,0.3492993844402009,0.6500717465690129
414236112101201,20,5,57,3,57,0.344951471801357,0.37426613141300025,1.1936365101720319,0.9734070594804667,0.37426613141300025,0.6402860248553123
414236112101201,20,6,57,3,57,0.38723041468413455,0.41153256951901185,1.1150862528830718,0.9281012779378727,0.41153256951901185,0.672354524679632
414236112101201,20,7,57,3,57,0.3484026053936783,0.3571024463623237,1.0989004619602325,0.875214831194171,0.3571024463623237,0.6135361862455255
414236112101201,20,8,57,3,57,0.3796835867494981,0.21921042322316442,0.9900180036664269,0.8062210448106111,0.21921042322316442,0.4931213427107348
414236112101201,20,9,57,3,57,0.32422413045487586,0.26458071737999533,1.0154912934106763,0.8031708605977065,0.26458071737999533,0.5146019791250062
414236112101201,20,10,57,3,57,0.34810048938395755,0.35118083533650024,1.1066953523032035,0.9010987455912982,0.35118083533650024,0.6055601360850932
414236112101201,20,11,57,3,57,0.2988394796182322,0.2982962748564689,1.203116704954356,0.9909799003077926,0.2982962748564689,0.560900109530203
414236112101201,20,12,57,3,57,0.322098836150841,0.22288318349259273,1.1121018170272354,0.9085030914211211,0.22288318349259273,0.5348640374309674
414236112101201,20,13,57,3,57,0.3962948520525458,0.47685971429525187,0.9671487837115893,0.7740510002524165,0.47685971429525187,0.756520414050972
414236112101201,20,14,57,3,57,0.3944538696470187,0.44753750098806433,1.039438033421032,0.8292683998967748,0.44753750098806433,0.7529198947847834
414236112101201,20,15,57,3,57,0.2348986565195711,0.23532911871094764,1.309669236490902,1.068938102207332,0.23532911871094764,0.4995406069402788
414236112101201,20,16,57,3,57,0.3416184035885973,0.38649196980539346,1.220594559959712,0.9718232860252037,0.38649196980539346,0.6663193795501767
414236112101201,20,17,57,3,57,0.3875227421467934,0.40938820449594415,1.0484537428675902,0.8339245522047668,0.40938820449594415,0.6645275969311129
414236112101201,20,18,57,3,57,0.3589370224724676,0.40755004634922265,1.1050718622456346,0.8969581866668912,0.40755004634922265,0.6851409917474788
414236112101201,20,19,57,3,57,0.29665745193386583,0.20259224871236758,1.1793489883766617,0.9028414584628128,0.20259224871236758,0.5012003754727204
414236112101201,30,0,86,3,86,0.28635134523725514,0.24202108334741945,1.1763494121740252,0.9691034484651218,0.24202108334741945,0.49474590551249253
414236112101201,30,1,86,3,86,0.28848666600487527,0.30413685352035724,1.1506306607286747,0.8380945831063717,0.30413685352035724,0.5997792744298188
414236112101201,30,2,86,3,86,0.3049084606677095,0.34191775031016536,1.1613443577189637,0.8895096040818908,0.34191775031016536,0.6374551407196641
414236112101201,30,3,86,3,86,0.3591306884834521,0.3428317458231227,1.0533641902674458,0.8175175078571091,0.3428317458231227,0.5935963929520398
414236112101201,30,4,86,3,86,0.3060348980380735,0.29604433294719734,1.1378412647524696,0.9155885078575074,0.29604433294719734,0.5566597288649697
414236112101201,30,5,86,3,86,0.3309810210317341,0.37262130021939766,1.088564771158963,0.8181035743616417,0.37262130021939766,0.6514208959402636
414236112101201,30,6,86,3,86,0.30258107017704416,0.32728585237656305,1.159742611995067,0.9352321051008741,0.32728585237656305,0.6065600651321996
414236112101201,30,7,86,3,86,0.28421962370092224,0.2180841667222443,1.0527758030815912,0.8464255741382235,0.2180841667222443,0.469978489834763
414236112101201,30,8,86,3,86,0.290781939861521,0.3348528326604724,1.2127048372366995,0.9903027099386595,0.3348528326604724,0.6217601110565345
414236112101201,30,9,86,3,86,0.28869693458842294,0.29387179260216534,1.1133358597688592,0.8907545915028496,0.29387179260216534,0.5600134843745076
414236112101201,30,10,86,3,86,0.2884171215308119,0.2771021647983215,1.1420515185495657,0.9045187180558018,0.2771021647983215,0.5315160468255126
414236112101201,30,11,86,3,86,0.34461941441079313,0.24385270525167013,1.0727027723574567,0.8860750875615575,0.24385270525167013,0.5253315791410452
414236112101201,30,12,86,3,86,0.3137143799713349,0.29855219651173703,1.0948280120847673,0.8597117428823452,0.29855219651173703,0.5512004431115949
414236112101201,30,13,86,3,86,0.3169677112509445,0.3410362723827657,1.1263020102083101,0.8952357971615615,0.3410362723827657,0.6097515954950882
414236112101201,30,14,86,3,86,0.31540164310101537,0.29306472004676287,1.0360888689313152,0.7826021801887755,0.29306472004676287,0.544139359088687
414236112101201,30,15,86,3,86,0.3642864326289509,0.3574916627617898,1.0368799869112917,0.8252935546687864,0.3574916627617898,0.6223218503108027
414236112101201,30,16,86,3,86,0.3159401649281366,0.3408383808842653,1.1123988253766175,0.8595850439003719,0.3408383808842653,0.607412906511918
414236112101201,30,17,86,3,86,0.30537424606353747,0.3236066279947115,1.0663433502215778,0.8757273384293576,0.3236066279947115,0.6027830536321737
414236112101201,30,18,86,3,86,0.33758454332668186,0.34040975551996533,1.0311061677015236,0.8232269188257242,0.34040975551996533,0.602072825827892
414236112101201,30,19,86,3,86,0.28516644564843896,0.20733891155343653,1.056940432300733,0.8653136497937445,0.20733891155343653,0.49475409893218775
414236112101201,40,0,115,3,115,0.29717870178267036,0.26507347412851434,1.0944951433135448,0.8971003058912806,0.26507347412851434,0.5641254308283618
414236112101201,40,1,115,3,115,0.3264229252976676,0.3052339933374675,1.0524625614490366,0.857721103987506,0.3052339933374675,0.5811286333982459
414236112101201,40,2,115,3,115,0.29270939703389387,0.3505695455889909,1.1097761467488048,0.8611172441868922,0.3505695455889909,0.6460851733331263
414236112101201,40,3,115,3,115,0.2909223633783721,0.30920411056919017,1.097957535079006,0.874174884001632,0.30920411056919017,0.5826074631124875
414236112101201,40,4,115,3,115,0.28675448383419233,0.33031579361339003,1.1165092120080813,0.8360183823639644,0.33031579361339003,0.6136967823413398
414236112101201,40,5,115,3,115,0.24729948816764347,0.3019158161138661,1.2395839543572351,0.9680981017857646,0.3019158161138661,0.6254577423400572
