pct_missing,rep,status,n_removed,n_remaining,n_scored,mae,rmse,r,r2,kge,nse
30,20,ok,60,142,60.0,2.138048511262817,2.8700900040554043,0.881205861879415,0.7692807540899942,0.8633370545546495,0.7692807540899943
30,21,ok,60,142,60.0,1.8452458697900207,2.695323070045076,0.9035744511485017,0.8131354139859055,0.8779944874559956,0.8131354139859056
30,22,ok,60,142,60.0,2.085223920221718,2.81101364115866,0.8915574666293984,0.785155443949615,0.8372516794295354,0.7851554439496151
30,23,ok,60,142,60.0,1.8271910788886847,2.6241035437733804,0.9052683529428077,0.8183948594337431,0.8461690159731311,0.8183948594337431
30,24,ok,60,142,60.0,2.1832251018852578,3.117762577425741,0.8364560072545091,0.6873526307400473,0.8219719866137434,0.6873526307400473
30,25,ok,60,142,60.0,2.0756500460262637,2.772148186476602,0.8710947523258823,0.7506409221443702,0.8563420818814764,0.7506409221443702
30,26,ok,60,142,60.0,1.8492374361820414,2.5127578221395663,0.9054786777883139,0.810525200853613,0.8470096897870758,0.8105252008536131
30,27,ok,60,142,60.0,2.029669946041228,2.7137224651835155,0.891682416809596,0.7915802030164933,0.8018952531539001,0.7915802030164936
30,28,ok,60,142,60.0,1.8110216249592819,2.7842516333879663,0.8881420933700883,0.7811913587874191,0.8800418670095016,0.7811913587874191
30,29,ok,60,142,60.0,1.9718243701591442,2.889887746551424,0.8891370654921287,0.7791650039149893,0.8374998980961039,0.7791650039149893
30,30,ok,60,142,60.0,2.2963265415330625,2.932066745802672,0.8819779005185012,0.7318008289418818,0.8674474865000614,0.7318008289418819
30,31,ok,60,142,60.0,1.947822373803759,2.762276789436996,0.8956376717832127,0.7982935847642102,0.8859676843734472,0.7982935847642102
30,32,ok,60,142,60.0,1.9118671203291342,2.380951514232572,0.9061002597467084,0.804253179546596,0.86707986351762,0.8042531795465963
30,33,ok,60,142,60.0,2.131841783401448,3.127196789862417,0.8303997811814536,0.6621145560679633,0.8285133735105095,0.6621145560679635
